날짜,그룹,역할,영웅,승률(%),픽률(%),점수,티어
2026-03-14,저티어,탱커,도미나,13.1,52.7,-14.124,S
2026-03-14,저티어,탱커,오리사,9.9,46.5,-15.479,A
2026-03-14,저티어,탱커,시그마,9.3,52.6,-15.645,A
2026-03-14,저티어,탱커,둠피스트,9.2,49.6,-15.721,B
2026-03-14,저티어,탱커,D.VA,8.5,46.7,-16.036,B
2026-03-14,저티어,탱커,로드호그,8.3,48.8,-16.091,B
2026-03-14,저티어,탱커,라인하르트,7.7,51.7,-16.296,C
2026-03-14,저티어,탱커,라마트라,6.5,48.8,-16.811,C
2026-03-14,저티어,탱커,마우가,4.6,50.1,-17.555,D
2026-03-14,저티어,탱커,레킹볼,3.3,49.4,-18.084,D
2026-03-14,저티어,딜러,솔저: 76,14.4,48.7,-13.665,S
2026-03-14,저티어,딜러,소전,12.5,44.1,-14.479,A
2026-03-14,저티어,딜러,벤데타,12.2,51.9,-14.507,A
2026-03-14,저티어,딜러,겐지,10.8,49.7,-15.093,B
2026-03-14,저티어,딜러,리퍼,9.5,52.6,-15.579,B
2026-03-14,저티어,딜러,바스티온,9.6,48.7,-15.585,B
2026-03-14,저티어,딜러,메이,9.3,56.7,-15.611,C
2026-03-14,저티어,딜러,솜브라,6.1,47.3,-17.002,C
2026-03-14,저티어,딜러,시메트라,3.4,56.4,-17.974,D
2026-03-14,저티어,딜러,벤처,2.7,52.2,-18.304,D
2026-03-14,저티어,서포터,아나,36.9,46.7,-4.679,S
2026-03-14,저티어,서포터,미즈키,21.7,54.1,-10.67,A
2026-03-14,저티어,서포터,우양,14.9,52.2,-13.413,A
2026-03-14,저티어,서포터,모이라,14.6,50.5,-13.553,B
2026-03-14,저티어,서포터,메르시,9.4,47.2,-15.673,B
2026-03-14,저티어,서포터,일리아리,8.5,54.1,-15.95,B
2026-03-14,저티어,서포터,라이프위버,6.7,47.6,-16.748,C
2026-03-14,저티어,서포터,바티스트,5.9,46.2,-17.085,C
2026-03-14,저티어,서포터,루시우,5.7,51.4,-17.103,D
2026-03-14,저티어,서포터,브리기테,3.5,49.5,-18.005,D
2026-03-14,중티어,탱커,도미나,13.1,52.7,-14.124,S
2026-03-14,중티어,탱커,오리사,9.9,46.5,-15.479,A
2026-03-14,중티어,탱커,시그마,9.3,52.6,-15.645,A
2026-03-14,중티어,탱커,둠피스트,9.2,49.6,-15.721,B
2026-03-14,중티어,탱커,D.VA,8.5,46.7,-16.036,B
2026-03-14,중티어,탱커,로드호그,8.3,48.8,-16.091,B
2026-03-14,중티어,탱커,라인하르트,7.7,51.7,-16.296,C
2026-03-14,중티어,탱커,라마트라,6.5,48.8,-16.811,C
2026-03-14,중티어,탱커,마우가,4.6,50.1,-17.555,D
2026-03-14,중티어,탱커,레킹볼,3.3,49.4,-18.084,D
2026-03-14,중티어,딜러,솔저: 76,14.4,48.7,-13.665,S
2026-03-14,중티어,딜러,소전,12.5,44.1,-14.479,A
2026-03-14,중티어,딜러,벤데타,12.2,51.9,-14.507,A
2026-03-14,중티어,딜러,겐지,10.8,49.7,-15.093,B
2026-03-14,중티어,딜러,리퍼,9.5,52.6,-15.579,B
2026-03-14,중티어,딜러,바스티온,9.6,48.7,-15.585,B
2026-03-14,중티어,딜러,메이,9.3,56.7,-15.611,C
2026-03-14,중티어,딜러,솜브라,6.1,47.3,-17.002,C
2026-03-14,중티어,딜러,시메트라,3.4,56.4,-17.974,D
2026-03-14,중티어,딜러,벤처,2.7,52.2,-18.304,D
2026-03-14,중티어,서포터,아나,36.9,46.7,-4.679,S
2026-03-14,중티어,서포터,미즈키,21.7,54.1,-10.67,A
2026-03-14,중티어,서포터,우양,14.9,52.2,-13.413,A
2026-03-14,중티어,서포터,모이라,14.6,50.5,-13.553,B
2026-03-14,중티어,서포터,메르시,9.4,47.2,-15.673,B
2026-03-14,중티어,서포터,일리아리,8.5,54.1,-15.95,B
2026-03-14,중티어,서포터,라이프위버,6.7,47.6,-16.748,C
2026-03-14,중티어,서포터,바티스트,5.9,46.2,-17.085,C
2026-03-14,중티어,서포터,루시우,5.7,51.4,-17.103,D
2026-03-14,중티어,서포터,브리기테,3.5,49.5,-18.005,D
2026-03-14,고티어,탱커,도미나,13.1,52.7,-14.124,S
2026-03-14,고티어,탱커,오리사,9.9,46.5,-15.479,A
2026-03-14,고티어,탱커,시그마,9.3,52.6,-15.645,A
2026-03-14,고티어,탱커,둠피스트,9.2,49.6,-15.721,B
2026-03-14,고티어,탱커,D.VA,8.5,46.7,-16.036,B
2026-03-14,고티어,탱커,로드호그,8.3,48.8,-16.091,B
2026-03-14,고티어,탱커,라인하르트,7.7,51.7,-16.296,C
2026-03-14,고티어,탱커,라마트라,6.5,48.8,-16.811,C
2026-03-14,고티어,탱커,마우가,4.6,50.1,-17.555,D
2026-03-14,고티어,탱커,레킹볼,3.3,49.4,-18.084,D
2026-03-14,고티어,딜러,솔저: 76,14.4,48.7,-13.665,S
2026-03-14,고티어,딜러,소전,12.5,44.1,-14.479,A
2026-03-14,고티어,딜러,벤데타,12.2,51.9,-14.507,A
2026-03-14,고티어,딜러,겐지,10.8,49.7,-15.093,B
2026-03-14,고티어,딜러,리퍼,9.5,52.6,-15.579,B
2026-03-14,고티어,딜러,바스티온,9.6,48.7,-15.585,B
2026-03-14,고티어,딜러,메이,9.3,56.7,-15.611,C
2026-03-14,고티어,딜러,솜브라,6.1,47.3,-17.002,C
2026-03-14,고티어,딜러,시메트라,3.4,56.4,-17.974,D
2026-03-14,고티어,딜러,벤처,2.7,52.2,-18.304,D
2026-03-14,고티어,서포터,아나,36.9,46.7,-4.679,S
2026-03-14,고티어,서포터,미즈키,21.7,54.1,-10.67,A
2026-03-14,고티어,서포터,우양,14.9,52.2,-13.413,A
2026-03-14,고티어,서포터,모이라,14.6,50.5,-13.553,B
2026-03-14,고티어,서포터,메르시,9.4,47.2,-15.673,B
2026-03-14,고티어,서포터,일리아리,8.5,54.1,-15.95,B
2026-03-14,고티어,서포터,라이프위버,6.7,47.6,-16.748,C
2026-03-14,고티어,서포터,바티스트,5.9,46.2,-17.085,C
2026-03-14,고티어,서포터,루시우,5.7,51.4,-17.103,D
2026-03-14,고티어,서포터,브리기테,3.5,49.5,-18.005,D
