날짜,랭크그룹,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-03-16_15,저티어,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_15,저티어,강건한 자,도미나,52.6,12.7,1.896,S
2026-03-16_15,저티어,강건한 자,라인하르트,51.8,7.9,1.253,B
2026-03-16_15,저티어,강건한 자,라마트라,48.8,6.1,-0.069,C
2026-03-16_15,저티어,개시자,둠피스트,49.6,9.4,0.721,S
2026-03-16_15,저티어,개시자,레킹볼,49.8,3.4,0.239,B
2026-03-16_15,저티어,의무관,라이프위버,47.5,6.3,-0.4,S
2026-03-16_15,저티어,투사,로드호그,48.7,8.8,0.08,S
2026-03-16_15,저티어,전술가,루시우,51.4,6.3,1.16,S
2026-03-16_15,중티어,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_15,중티어,강건한 자,도미나,52.6,12.7,1.896,S
2026-03-16_15,중티어,강건한 자,라인하르트,51.8,7.9,1.253,B
2026-03-16_15,중티어,강건한 자,라마트라,48.8,6.1,-0.069,C
2026-03-16_15,중티어,개시자,둠피스트,49.6,9.4,0.721,S
2026-03-16_15,중티어,개시자,레킹볼,49.8,3.4,0.239,B
2026-03-16_15,중티어,의무관,라이프위버,47.5,6.3,-0.4,S
2026-03-16_15,중티어,투사,로드호그,48.7,8.8,0.08,S
2026-03-16_15,중티어,전술가,루시우,51.4,6.3,1.16,S
2026-03-16_15,고티어,측면 공격가,겐지,49.9,11.1,0.56,S
2026-03-16_15,고티어,강건한 자,도미나,52.6,12.7,1.896,S
2026-03-16_15,고티어,강건한 자,라인하르트,51.8,7.9,1.253,B
2026-03-16_15,고티어,강건한 자,라마트라,48.8,6.1,-0.069,C
2026-03-16_15,고티어,개시자,둠피스트,49.6,9.4,0.721,S
2026-03-16_15,고티어,개시자,레킹볼,49.8,3.4,0.239,B
2026-03-16_15,고티어,의무관,라이프위버,47.5,6.3,-0.4,S
2026-03-16_15,고티어,투사,로드호그,48.7,8.8,0.08,S
2026-03-16_15,고티어,전술가,루시우,51.4,6.3,1.16,S
